"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.496916684738447,0.0205913971897371,24.1322470816169,0,"(Intercept)","model_2","A.distance1.5km"
"LDN_grid$pc_f.scaled",-0.0712545536217888,0.00940452689859507,-7.57662287429189,3.5527136788005e-14,"LDN_grid$pc_f.scaled","model_2","A.distance1.5km"
"LDN_grid$pc_65_plus.scaled",-0.0730582054145016,0.014164650052529,-5.15778400056255,2.49889651415813e-07,"LDN_grid$pc_65_plus.scaled","model_2","A.distance1.5km"
"LDN_grid$pc_bad_gh.scaled",0.0285315982131827,0.015458852408951,1.84564788241735,0.0649433492080425,"LDN_grid$pc_bad_gh.scaled","model_2","A.distance1.5km"
"LDN_grid$avg_hos_dpr.scaled",-0.0544096191378863,0.0196581695726603,-2.76778664141532,0.00564383903621302,"LDN_grid$avg_hos_dpr.scaled","model_2","A.distance1.5km"
"LDN_grid$pop_den.scaled",-0.582670275327592,0.0173376862203897,-33.6071531068749,0,"LDN_grid$pop_den.scaled","model_2","A.distance1.5km"
"LDN_grid$WD_pop_den.scaled",0.894665635897598,0.017988937980848,49.7342109272992,0,"LDN_grid$WD_pop_den.scaled","model_2","A.distance1.5km"
"LDN_grid$count_sports.scaled",0.22677911205654,0.00751064385371961,30.1943636888372,0,"LDN_grid$count_sports.scaled","model_2","A.distance1.5km"
"LDN_grid$count_CHs.scaled",0.0065281573474303,0.00728168642935169,0.896517230008148,0.369976582200088,"LDN_grid$count_CHs.scaled","model_2","A.distance1.5km"
