"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.488888173668952,0.0182399868752448,26.8030989831724,0,"(Intercept)","model_3","A.distance1km"
"LDN_grid$pc_f.scaled",-0.0664826399986174,0.00987070839672144,-6.73534637298166,1.63540292419384e-11,"LDN_grid$pc_f.scaled","model_3","A.distance1km"
"LDN_grid$pc_50_plus.scaled",-0.0777642106544231,0.0148941032279095,-5.22114084107484,1.7782423178403e-07,"LDN_grid$pc_50_plus.scaled","model_3","A.distance1km"
"LDN_grid$pc_bad_gh.scaled",0.0274390910284909,0.0160087369231309,1.7140072424355,0.0865273957568695,"LDN_grid$pc_bad_gh.scaled","model_3","A.distance1km"
"LDN_grid$avg_hos_dpr.scaled",-0.0523500302182262,0.0200582282599347,-2.60990300538122,0.00905678978663915,"LDN_grid$avg_hos_dpr.scaled","model_3","A.distance1km"
"LDN_grid$pop_den.scaled",-0.548187133101703,0.018153770201249,-30.1968751958746,0,"LDN_grid$pop_den.scaled","model_3","A.distance1km"
"LDN_grid$WD_pop_den.scaled",0.845492333774012,0.0188160252291766,44.9346938833271,0,"LDN_grid$WD_pop_den.scaled","model_3","A.distance1km"
"LDN_grid$count_sports.scaled",0.224084313825735,0.00745383193516016,30.062968386598,0,"LDN_grid$count_sports.scaled","model_3","A.distance1km"
"LDN_grid$count_CHs.scaled",0.0064441838427747,0.0072197654060262,0.892575240380507,0.372084683347209,"LDN_grid$count_CHs.scaled","model_3","A.distance1km"
