"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.478409707786869,0.0127158413894447,37.623126392878,0,"(Intercept)","model_8","A.queen_shared_edge"
"LDN_grid$pc_f.scaled",-0.0641752009184028,0.00967518689518378,-6.63296757092606,3.29003491117419e-11,"LDN_grid$pc_f.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.0233791835112795,0.039307846282778,-0.594771418995873,0.551996274791993,"LDN_grid$pc_65_plus.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.0389064970356091,0.0377192488061727,-1.03147592454816,0.30231769257751,"LDN_grid$pc_50_plus.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0414877472351032,0.0159618546021404,2.5991808764841,0.00934465201635915,"LDN_grid$pc_bad_gh.scaled","model_8","A.queen_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0839035459261226,0.0186273692144104,-4.50431539528479,6.65872518812449e-06,"LDN_grid$avg_hos_dpr.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pop_den.scaled",-0.61472045287532,0.0199748478746086,-30.7747251310352,0,"LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$WD_pop_den.scaled",0.942798550118039,0.0176135509552642,53.5268869129575,0,"LDN_grid$WD_pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$count_sports.scaled",0.239600120581802,0.00772764683062741,31.0055733437741,0,"LDN_grid$count_sports.scaled","model_8","A.queen_shared_edge"
"LDN_grid$count_CHs.scaled",0.00360199659265836,0.007644855051601,0.47116610692364,0.637522120167803,"LDN_grid$count_CHs.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0183184585603096,0.00844385224561422,2.1694432857733,0.0300490457162375,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.0198532653054805,0.0340754890914763,0.582625982335397,0.560145110562479,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.0243854384597374,0.0380880430239397,-0.640238681845907,0.522017438315967,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",0.0103578105447813,0.00845501572793404,1.22504923445154,0.220556670694635,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0628402731785253,0.00696195316312724,-9.02624187582125,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",0.00901226993195084,0.00748337336435508,1.2043057980881,0.228471406498268,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_8","A.queen_shared_edge"
