"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.480092806631014,0.0148877680587759,32.2474668288518,0,"(Intercept)","model_2","A.lag2"
"LDN_grid$pc_f.scaled",-0.0655758307993188,0.00990021070635198,-6.62368031795983,3.50364182111207e-11,"LDN_grid$pc_f.scaled","model_2","A.lag2"
"LDN_grid$pc_65_plus.scaled",-0.0720884469014427,0.0149154038002014,-4.83315422546383,1.34386595496139e-06,"LDN_grid$pc_65_plus.scaled","model_2","A.lag2"
"LDN_grid$pc_bad_gh.scaled",0.0334150291428409,0.0162333030399731,2.05842452768603,0.0395493992411375,"LDN_grid$pc_bad_gh.scaled","model_2","A.lag2"
"LDN_grid$avg_hos_dpr.scaled",-0.0672109890936485,0.0201193456844065,-3.34061505517748,0.000835930365801207,"LDN_grid$avg_hos_dpr.scaled","model_2","A.lag2"
"LDN_grid$pop_den.scaled",-0.560398888846515,0.0180636314740891,-31.0236006337023,0,"LDN_grid$pop_den.scaled","model_2","A.lag2"
"LDN_grid$WD_pop_den.scaled",0.868912082646244,0.0184004335293696,47.2223701283636,0,"LDN_grid$WD_pop_den.scaled","model_2","A.lag2"
"LDN_grid$count_sports.scaled",0.224093761215806,0.00744044672761835,30.1183207701747,0,"LDN_grid$count_sports.scaled","model_2","A.lag2"
"LDN_grid$count_CHs.scaled",0.00617347573405419,0.00721608342777809,0.855516125311077,0.392265481246824,"LDN_grid$count_CHs.scaled","model_2","A.lag2"
