"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.485229508235225,0.0167148819635412,29.0297896984027,0,"(Intercept)","model_8","A.lag2"
"LDN_grid$pc_f.scaled",-0.0663806856234145,0.00991530905115849,-6.69476718082314,2.16016093901317e-11,"LDN_grid$pc_f.scaled","model_8","A.lag2"
"LDN_grid$pc_65_plus.scaled",-0.00793207082876507,0.0403462515993903,-0.196599944587787,0.844140613977023,"LDN_grid$pc_65_plus.scaled","model_8","A.lag2"
"LDN_grid$pc_50_plus.scaled",-0.0691876016820965,0.038809577362119,-1.78274555882251,0.0746277314776855,"LDN_grid$pc_50_plus.scaled","model_8","A.lag2"
"LDN_grid$pc_bad_gh.scaled",0.0342683482915296,0.0162427505197028,2.10976264456943,0.0348788055665346,"LDN_grid$pc_bad_gh.scaled","model_8","A.lag2"
"LDN_grid$avg_hos_dpr.scaled",-0.0669923197525009,0.0200297224218159,-3.34464543949617,0.000823878203806361,"LDN_grid$avg_hos_dpr.scaled","model_8","A.lag2"
"LDN_grid$pop_den.scaled",-0.558545336685025,0.0209129827064454,-26.7080666839972,0,"LDN_grid$pop_den.scaled","model_8","A.lag2"
"LDN_grid$WD_pop_den.scaled",0.862934715133866,0.0185355067936811,46.5557659005066,0,"LDN_grid$WD_pop_den.scaled","model_8","A.lag2"
"LDN_grid$count_sports.scaled",0.24398491329774,0.00774259827560081,31.512020204717,0,"LDN_grid$count_sports.scaled","model_8","A.lag2"
"LDN_grid$count_CHs.scaled",0.00237194734463636,0.00767018600064107,0.30924248048719,0.757137081710295,"LDN_grid$count_CHs.scaled","model_8","A.lag2"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.026666776753901,0.00867202682032864,3.07503393455722,0.00210478604160969,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_8","A.lag2"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.00932758646198843,0.0348643676147425,0.267539241355528,0.789054004670033,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.lag2"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.015063451079264,0.0389712604633778,-0.386527171565814,0.699106283229523,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.lag2"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",0.010570955257529,0.00854809962800335,1.23664389952813,0.216219314540563,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_8","A.lag2"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0625597098739704,0.00699032272754125,-8.94947376713963,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_8","A.lag2"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",0.00671271957892489,0.00750909307967785,0.893945448231528,0.371351079376487,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_8","A.lag2"
