"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.502072486667124,0.0277312367651864,18.1049439272547,0,"(Intercept)","model_6","A.queen_shared_edge"
"LDN_grid$pc_f.scaled",-0.0909095795100667,0.0127924233319635,-7.10651744012546,1.19015908239817e-12,"LDN_grid$pc_f.scaled","model_6","A.queen_shared_edge"
"LDN_grid$pc_65_plus.scaled",0.0826030704791904,0.0507172669636014,1.62869719573952,0.103377136708631,"LDN_grid$pc_65_plus.scaled","model_6","A.queen_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.29171644401413,0.0495622761504497,-5.88585647536859,3.95997856728059e-09,"LDN_grid$pc_50_plus.scaled","model_6","A.queen_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0468196243117144,0.0206253945659161,2.26999896472695,0.0232076458579538,"LDN_grid$pc_bad_gh.scaled","model_6","A.queen_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0767769888854735,0.0270511398503225,-2.83821640456893,0.00453664134331411,"LDN_grid$avg_hos_dpr.scaled","model_6","A.queen_shared_edge"
"LDN_grid$pop_den.scaled",0.0165320911873121,0.0166567128078764,0.992518234419853,0.320944788963353,"LDN_grid$pop_den.scaled","model_6","A.queen_shared_edge"
"LDN_grid$count_sports.scaled",0.226811302454829,0.00748095713819433,30.3184870952989,0,"LDN_grid$count_sports.scaled","model_6","A.queen_shared_edge"
"LDN_grid$count_CHs.scaled",0.014161607213115,0.0072449961178661,1.95467423070009,0.050621533551537,"LDN_grid$count_CHs.scaled","model_6","A.queen_shared_edge"
