"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.473224485122604,0.0107320600710361,44.0944685354261,0,"(Intercept)","model_3","A.queen_shared_edge"
"LDN_grid$pc_f.scaled",-0.0638443147080548,0.0096841110421909,-6.59268717901967,4.31936708622516e-11,"LDN_grid$pc_f.scaled","model_3","A.queen_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.057397207938991,0.0139468931129076,-4.11541176047811,3.86488835142362e-05,"LDN_grid$pc_50_plus.scaled","model_3","A.queen_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0377464172225827,0.0158989513490827,2.37414508628963,0.0175896373264144,"LDN_grid$pc_bad_gh.scaled","model_3","A.queen_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0782699274725328,0.0183632766661085,-4.26230726115394,2.02326984481971e-05,"LDN_grid$avg_hos_dpr.scaled","model_3","A.queen_shared_edge"
"LDN_grid$pop_den.scaled",-0.612757109618733,0.017487167893586,-35.0403858044666,0,"LDN_grid$pop_den.scaled","model_3","A.queen_shared_edge"
"LDN_grid$WD_pop_den.scaled",0.94139291116952,0.0177048434406134,53.1714902945736,0,"LDN_grid$WD_pop_den.scaled","model_3","A.queen_shared_edge"
"LDN_grid$count_sports.scaled",0.218989751835261,0.00742506569334382,29.4933083260898,0,"LDN_grid$count_sports.scaled","model_3","A.queen_shared_edge"
"LDN_grid$count_CHs.scaled",0.00763143547785055,0.00718347507107477,1.06235984705781,0.288072354873403,"LDN_grid$count_CHs.scaled","model_3","A.queen_shared_edge"
