"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.462918230206263,0.0110168071469701,42.0192732822392,0,"(Intercept)","model_8","A.nearest4"
"LDN_grid$pc_f.scaled",-0.0529544606748915,0.00900064678882337,-5.88340615039445,4.01908040181809e-09,"LDN_grid$pc_f.scaled","model_8","A.nearest4"
"LDN_grid$pc_65_plus.scaled",-0.0256475218285001,0.0366569156928561,-0.69966393363254,0.484137205220657,"LDN_grid$pc_65_plus.scaled","model_8","A.nearest4"
"LDN_grid$pc_50_plus.scaled",-0.0220479266830772,0.0351693484919089,-0.62690745289608,0.530719901612967,"LDN_grid$pc_50_plus.scaled","model_8","A.nearest4"
"LDN_grid$pc_bad_gh.scaled",0.0383834030803683,0.0148677054947056,2.58166285941275,0.00983255867342825,"LDN_grid$pc_bad_gh.scaled","model_8","A.nearest4"
"LDN_grid$avg_hos_dpr.scaled",-0.0724222353322249,0.0168942565724161,-4.28679622697761,1.81268429506609e-05,"LDN_grid$avg_hos_dpr.scaled","model_8","A.nearest4"
"LDN_grid$pop_den.scaled",-0.599692934653633,0.0184927995898293,-32.4284558290165,0,"LDN_grid$pop_den.scaled","model_8","A.nearest4"
"LDN_grid$WD_pop_den.scaled",0.937234347859949,0.0162434420156366,57.6992454528867,0,"LDN_grid$WD_pop_den.scaled","model_8","A.nearest4"
"LDN_grid$count_sports.scaled",0.239788325230742,0.00749160338792544,32.0076107629002,0,"LDN_grid$count_sports.scaled","model_8","A.nearest4"
"LDN_grid$count_CHs.scaled",0.00474130614433066,0.00739915376309505,0.640790324966483,0.52165891971586,"LDN_grid$count_CHs.scaled","model_8","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.00742429189596378,0.00781019309509003,0.950590056554575,0.341812518227784,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_8","A.nearest4"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.0332860930507262,0.0321599136951937,1.03501810876131,0.300660454297407,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.nearest4"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.0328865001594037,0.036182673605547,-0.908901882650319,0.363401919945317,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.nearest4"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",0.00844876438602076,0.00780604433501643,1.08233620300121,0.279103164899768,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_8","A.nearest4"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0605995112012788,0.00669466121666023,-9.05191603280413,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_8","A.nearest4"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",0.0105582614053479,0.00728679566962763,1.44895807211339,0.147349291951306,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_8","A.nearest4"
