"","x"
"1",3
"2",0.150311669137811
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0.354089469467016
"14",0.678616409037152
"15",0.296209791015676
"16",0.355346700688436
"17",0.507190520101331
"18",0
"19",0.610128318577921
"20",0.93764123241937
"21",0.840829173554349
"22",0.551456122568537
"23",0.117993503196555
"24",0
"25",1.0583524622871
"26",0.594230783111817
"27",0.431252521193102
"28",0.0370209660614955
"29",0.218788585699503
"30",0.737513811222421
"31",0.304461501818895
"32",0.398593412757451
"33",0.687941961067407
"34",0.598561589552046
"35",0.00610687992320562
"36",0.397194925753616
"37",0.383673723834211
"38",0.649657958461058
"39",0.264017139954835
"40",0.851668393350496
"41",0.159700903860295
"42",0.76385163532025
"43",0.236989023424384
"44",0.22013246604285
"45",0.117453587369829
"46",0.0931436538743207
"47",0.184984486538626
"48",0.641506622305944
"49",0.691674550762658
"50",0.310973993314834
"51",0.238532457527159
"52",0.255658381321475
"53",0.731153825200964
"54",1.13489013262565
"55",0.69526388909313
"56",0.378552333554654
"57",0.487307878889896
"58",3
"59",2.33729704060977
"60",1.72233519965624
"61",0.411642877710662
"62",0.193400563462834
"63",0.0723038743540547
"64",0
"65",0
"66",0
"67",0.685669608195103
"68",0.612483278128636
"69",0.448704353611772
"70",1.61089718553658
"71",0.0762614079966354
"72",0.0181967759735092
"73",0.0689541150683701
"74",0.0122861255828388
"75",0.252311815158675
"76",0.0193694820463195
"77",0.162745970933716
"78",0.207290698777673
"79",0.227477757345922
"80",0.354648898284216
"81",0.571348926413698
"82",0
"83",0.135998219237657
"84",0.312616245947239
"85",0
"86",0.617243496400412
"87",1.50931156210597
"88",0.56528734549495
"89",0
"90",0.386740917141219
"91",0.0217946478865777
"92",0.0245463293299704
"93",0
"94",0.00774739270764713
"95",0.00663645328620571
"96",0.0240325577034449
"97",0
"98",0
"99",0.086981884995129
"100",0.121153978794058
"101",0
"102",0.209324635594044
"103",0.738046955127823
"104",0.756301829573925
"105",0
"106",0.0141500334110989
"107",0
"108",0
"109",0.701048567065146
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0.173750656491173
"119",0.701106818584711
"120",0.289684736328021
"121",0.224954587187917
"122",0.314000837631395
"123",0.243554955457322
"124",0.405790999277702
"125",0.145106261490553
"126",0.495026891445316
"127",0.206202934963276
"128",0.936213708634211
"129",0
"130",0.0052894507909139
"131",0.374580759996996
"132",0.177413907321704
"133",0.627912777166663
"134",0.828446938433591
