"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.450346222869381,0.00938154897558555,48.0033973111857,0,"(Intercept)","model_6","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.049159235865692,0.00909535331650139,-5.40487369264744,6.48540776637674e-08,"LDN_grid$pc_f.scaled","model_6","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.0477659969188811,0.0129370452630711,-3.69218750862915,0.00022233344132716,"LDN_grid$pc_65_plus.scaled","model_6","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0359214742316376,0.015120349975002,2.37570388853602,0.0175155126144679,"LDN_grid$pc_bad_gh.scaled","model_6","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0693321257958772,0.0172800945621858,-4.01225384192037,6.01417785346392e-05,"LDN_grid$avg_hos_dpr.scaled","model_6","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",-0.592579111826385,0.0161816044781953,-36.6205410980652,0,"LDN_grid$pop_den.scaled","model_6","A.rook_shared_edge"
"LDN_grid$WD_pop_den.scaled",0.924473263270688,0.0163581478989787,56.5145436378166,0,"LDN_grid$WD_pop_den.scaled","model_6","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.21602321235687,0.007091450613842,30.4624856210954,0,"LDN_grid$count_sports.scaled","model_6","A.rook_shared_edge"
