"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.467945845560344,0.010576392346691,44.244372771094,0,"(Intercept)","model_9","A.nearest4"
"LDN_grid$pc_f.scaled",-0.053398501911172,0.00895839281647506,-5.96072342496176,2.51123699612776e-09,"LDN_grid$pc_f.scaled","model_9","A.nearest4"
"LDN_grid$pop_den.scaled",-0.591032958222956,0.0176161852949541,-33.5505643433626,0,"LDN_grid$pop_den.scaled","model_9","A.nearest4"
"LDN_grid$pc_50_plus.scaled",-0.0383128628906267,0.0133114365742691,-2.8781914466456,0.00399962331288739,"LDN_grid$pc_50_plus.scaled","model_9","A.nearest4"
"LDN_grid$pc_bad_gh.scaled",0.0385023350937033,0.0146752490650967,2.62362396187717,0.00869997795319111,"LDN_grid$pc_bad_gh.scaled","model_9","A.nearest4"
"LDN_grid$avg_hos_dpr.scaled",-0.0689511427057736,0.0164806642436542,-4.18375993141921,2.86726901872481e-05,"LDN_grid$avg_hos_dpr.scaled","model_9","A.nearest4"
"LDN_grid$WD_pop_den.scaled",0.936400960806898,0.0162284918867854,57.7010462425899,0,"LDN_grid$WD_pop_den.scaled","model_9","A.nearest4"
"LDN_grid$count_sports.scaled",0.239641822894417,0.0074917023456089,31.987632695375,0,"LDN_grid$count_sports.scaled","model_9","A.nearest4"
"LDN_grid$count_CHs.scaled",0.0082580440230623,0.00688883702937497,1.19875735016649,0.230622310865329,"LDN_grid$count_CHs.scaled","model_9","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0104289632297419,0.00758888485968215,1.37424185800319,0.169366609849177,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_9","A.nearest4"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.00841691416012097,0.0099597293804289,0.845094664586008,0.398057987013357,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_9","A.nearest4"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0603788776929984,0.00667534015759967,-9.04506381210534,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_9","A.nearest4"
