"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.416637718544786,0.0256024774843007,16.2733360004033,0,"(Intercept)","model_4","A.distance1.5km"
"LDN_grid$pc_f.scaled",-0.0547697465576424,0.00924134334563021,-5.92660011745375,3.09270853371402e-09,"LDN_grid$pc_f.scaled","model_4","A.distance1.5km"
"LDN_grid$pc_65_plus.scaled",-0.0080140991937515,0.0354535464047697,-0.226045064780129,0.821166370645018,"LDN_grid$pc_65_plus.scaled","model_4","A.distance1.5km"
"LDN_grid$pc_50_plus.scaled",-0.0502418030263737,0.0356250004022457,-1.41029620937791,0.158452237351494,"LDN_grid$pc_50_plus.scaled","model_4","A.distance1.5km"
"LDN_grid$avg_hos_dpr.scaled",-0.00234540359511976,0.011437487319891,-0.205062836750939,0.837523031369421,"LDN_grid$avg_hos_dpr.scaled","model_4","A.distance1.5km"
"LDN_grid$pop_den.scaled",-0.515212630715655,0.0171047082600545,-30.1211001604077,0,"LDN_grid$pop_den.scaled","model_4","A.distance1.5km"
"LDN_grid$WD_pop_den.scaled",0.788601261737181,0.0186644769727127,42.2514524725288,0,"LDN_grid$WD_pop_den.scaled","model_4","A.distance1.5km"
"LDN_grid$count_sports.scaled",0.227437775905015,0.00721113327984513,31.5398103292163,0,"LDN_grid$count_sports.scaled","model_4","A.distance1.5km"
"LDN_grid$count_CHs.scaled",0.00760059769958035,0.00695615407887433,1.09264366680192,0.274550282393533,"LDN_grid$count_CHs.scaled","model_4","A.distance1.5km"
