"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.460687340567271,0.0122622075097267,37.5696904657535,0,"(Intercept)","model_3","A.distance0.5km"
"LDN_grid$pc_f.scaled",-0.050470478074433,0.00939901025806024,-5.36976518683458,7.8839226924643e-08,"LDN_grid$pc_f.scaled","model_3","A.distance0.5km"
"LDN_grid$pc_65_plus.scaled",-0.0193448274096202,0.0384441016799951,-0.503193638666463,0.614828136848237,"LDN_grid$pc_65_plus.scaled","model_3","A.distance0.5km"
"LDN_grid$pop_den.scaled",-0.559323681262197,0.0193336412689161,-28.9300744480792,0,"LDN_grid$pop_den.scaled","model_3","A.distance0.5km"
"LDN_grid$pc_50_plus.scaled",-0.029277957526349,0.0367577315067971,-0.796511545358426,0.425734767646381,"LDN_grid$pc_50_plus.scaled","model_3","A.distance0.5km"
"LDN_grid$pc_bad_gh.scaled",0.0319985415182664,0.0154890787675579,2.06587764181868,0.0388400344880899,"LDN_grid$pc_bad_gh.scaled","model_3","A.distance0.5km"
"LDN_grid$avg_hos_dpr.scaled",-0.0676481491062285,0.0180162512827676,-3.75484045179439,0.000173451932048874,"LDN_grid$avg_hos_dpr.scaled","model_3","A.distance0.5km"
"LDN_grid$WD_pop_den.scaled",0.894255195234801,0.0171864419514858,52.0325962615834,0,"LDN_grid$WD_pop_den.scaled","model_3","A.distance0.5km"
"LDN_grid$count_sports.scaled",0.218919612205455,0.00712362258280334,30.7315006741,0,"LDN_grid$count_sports.scaled","model_3","A.distance0.5km"
"LDN_grid$count_CHs.scaled",0.00813591853773611,0.00689796267483173,1.17946688337721,0.238212316076619,"LDN_grid$count_CHs.scaled","model_3","A.distance0.5km"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.037915452972189,0.0375122267754192,-1.01074919383442,0.312136485433478,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_3","A.distance0.5km"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.052612101389951,0.0329454264161414,1.59694704586291,0.110277511627419,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_3","A.distance0.5km"
