"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.454032883712846,0.021350398594285,21.2657802011424,0,"(Intercept)","model_3","A.lag4"
"LDN_grid$pc_f.scaled",-0.0593362873235538,0.0091748348960253,-6.46728665921382,9.9778185713717e-11,"LDN_grid$pc_f.scaled","model_3","A.lag4"
"LDN_grid$pc_65_plus.scaled",-0.00797843051691304,0.0370333343841927,-0.215439161760129,0.829424940102489,"LDN_grid$pc_65_plus.scaled","model_3","A.lag4"
"LDN_grid$pop_den.scaled",-0.52396895758665,0.0192558871699444,-27.2108448165655,0,"LDN_grid$pop_den.scaled","model_3","A.lag4"
"LDN_grid$pc_50_plus.scaled",-0.0488413286024443,0.035255771567652,-1.38534278022318,0.165947678422522,"LDN_grid$pc_50_plus.scaled","model_3","A.lag4"
"LDN_grid$pc_bad_gh.scaled",0.0207008820854414,0.0149742547656949,1.38243154062437,0.166839237214665,"LDN_grid$pc_bad_gh.scaled","model_3","A.lag4"
"LDN_grid$avg_hos_dpr.scaled",-0.0337563666197085,0.0188313530783748,-1.79256193005446,0.0730429983270933,"LDN_grid$avg_hos_dpr.scaled","model_3","A.lag4"
"LDN_grid$WD_pop_den.scaled",0.83560451815588,0.0173435147553102,48.179652737346,0,"LDN_grid$WD_pop_den.scaled","model_3","A.lag4"
"LDN_grid$count_sports.scaled",0.228611018817821,0.00721604917959107,31.6809119683379,0,"LDN_grid$count_sports.scaled","model_3","A.lag4"
"LDN_grid$count_CHs.scaled",0.00617287278663498,0.00699325916813008,0.882688977803969,0.377404339019364,"LDN_grid$count_CHs.scaled","model_3","A.lag4"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.0480412095953381,0.0363530457011392,-1.32151814707048,0.1863286557526,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_3","A.lag4"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.0688730762342162,0.0318106363049687,2.16509583693736,0.0303803467271275,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_3","A.lag4"
