"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",1.4745440461465,0.0510416465629266,28.8890375887192,0,"(Intercept)","model_10","A.lag4"
"LDN_grid$pc_f.scaled",-0.140019256195531,0.0175389447960542,-7.98333410725094,1.33226762955019e-15,"LDN_grid$pc_f.scaled","model_10","A.lag4"
"LDN_grid$pc_65_plus.scaled",-0.253545763374159,0.0624186131082175,-4.0620217391658,4.86495453713154e-05,"LDN_grid$pc_65_plus.scaled","model_10","A.lag4"
"LDN_grid$pc_50_plus.scaled",0.0655955773904469,0.0617246894363788,1.06271214953715,0.287912509425613,"LDN_grid$pc_50_plus.scaled","model_10","A.lag4"
"LDN_grid$pc_bad_gh.scaled",0.0282988292299857,0.0264942958049761,1.0681102618576,0.285470777446641,"LDN_grid$pc_bad_gh.scaled","model_10","A.lag4"
"LDN_grid$avg_hos_dpr.scaled",-0.122864465167907,0.0344023566319555,-3.57139676453971,0.000355082507891513,"LDN_grid$avg_hos_dpr.scaled","model_10","A.lag4"
"LDN_grid$pop_den.scaled",-1.37687516072368,0.0297087702056728,-46.3457474406251,0,"LDN_grid$pop_den.scaled","model_10","A.lag4"
"LDN_grid$WD_pop_den.scaled",2.28464079886312,0.0307732135422039,74.2412161710004,0,"LDN_grid$WD_pop_den.scaled","model_10","A.lag4"
"LDN_grid$count_sports.scaled",0.308159177030903,0.0124983390153998,24.6560104227614,0,"LDN_grid$count_sports.scaled","model_10","A.lag4"
"LDN_grid$count_CHs.scaled",-0.018924337563317,0.0121189740904228,-1.56154616901708,0.118394939338677,"LDN_grid$count_CHs.scaled","model_10","A.lag4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled",-0.236193246913129,0.0499975053293216,-4.72410063976953,2.31135940653715e-06,"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled","model_10","A.lag4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled",0.336227562955506,0.0503018004886226,6.68420533041467,2.32180941139859e-11,"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled","model_10","A.lag4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled",0.18750920270894,0.0124190236482438,15.0985462319701,0,"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled","model_10","A.lag4"
