"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",4.99966404418023,0.0504065641616095,99.1867652028554,0,"(Intercept)","model_5","A.nearest4"
"LDN_grid$pc_f.scaled",-0.442229989892474,0.0337754112038578,-13.0932525802073,0,"LDN_grid$pc_f.scaled","model_5","A.nearest4"
"LDN_grid$pc_65_plus.scaled",-0.877878379186632,0.134932596212025,-6.50605119764528,7.71518404718563e-11,"LDN_grid$pc_65_plus.scaled","model_5","A.nearest4"
"LDN_grid$pc_50_plus.scaled",0.198764332277153,0.134781736868639,1.4747126494658,0.140289813818392,"LDN_grid$pc_50_plus.scaled","model_5","A.nearest4"
"LDN_grid$pc_bad_gh.scaled",0.502997336179667,0.0547245990679154,9.19143026622137,0,"LDN_grid$pc_bad_gh.scaled","model_5","A.nearest4"
"LDN_grid$avg_hos_dpr.scaled",-0.90441992823932,0.0679040800437808,-13.3190807924384,0,"LDN_grid$avg_hos_dpr.scaled","model_5","A.nearest4"
"LDN_grid$pop_den.scaled",-2.60049770446817,0.0613544782244001,-42.38480677738,0,"LDN_grid$pop_den.scaled","model_5","A.nearest4"
"LDN_grid$WD_pop_den.scaled",5.1575819517719,0.0649879508083306,79.3621261729453,0,"LDN_grid$WD_pop_den.scaled","model_5","A.nearest4"
"LDN_grid$count_sports.scaled",0.23906427583699,0.0192253638396186,12.4348375318827,0,"LDN_grid$count_sports.scaled","model_5","A.nearest4"
