"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",1.28637936972315,0.0600855847114015,21.4091179423781,0,"(Intercept)","model_6","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.178504714040268,0.0178081562050832,-10.02376169574,0,"LDN_grid$pc_f.scaled","model_6","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",0.169327271904753,0.0705882490255851,2.39880255201372,0.0164487815472938,"LDN_grid$pc_65_plus.scaled","model_6","A.rook_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.602563991848403,0.068704262503832,-8.7704018628363,0,"LDN_grid$pc_50_plus.scaled","model_6","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0870953136984166,0.0284698720482378,3.0592098745947,0.00221921621698118,"LDN_grid$pc_bad_gh.scaled","model_6","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.121359869595719,0.038735199246254,-3.1330642918393,0.00172991545383949,"LDN_grid$avg_hos_dpr.scaled","model_6","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",0.0745838934748925,0.0237588164699883,3.13920912555158,0.00169404504170889,"LDN_grid$pop_den.scaled","model_6","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.169970611687313,0.00892311725714538,19.048344517854,0,"LDN_grid$count_sports.scaled","model_6","A.rook_shared_edge"
"LDN_grid$count_CHs.scaled",-0.00824655258907511,0.00863613348545428,-0.954889430896901,0.339633615145359,"LDN_grid$count_CHs.scaled","model_6","A.rook_shared_edge"
