"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",1.27428399314067,0.0604519468406617,21.0792879259854,0,"(Intercept)","model_9","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.150183264784361,0.0171420034329885,-8.76112674760902,0,"LDN_grid$pc_f.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.186878322417799,0.0293946519942312,-6.35756199646367,2.04980921125753e-10,"LDN_grid$pc_65_plus.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.050544982439327,0.0271044172325928,1.8648245415344,0.0622060021342705,"LDN_grid$pc_bad_gh.scaled","model_9","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0860240056280738,0.0366120000843966,-2.34961229732805,0.018792974322372,"LDN_grid$avg_hos_dpr.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",-0.782132629486488,0.0356258334336099,-21.9540865182571,0,"LDN_grid$pop_den.scaled","model_9","A.rook_shared_edge"
"LDN_grid$WD_pop_den.scaled",1.37824097547686,0.0313942054660255,43.9011261797462,0,"LDN_grid$WD_pop_den.scaled","model_9","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.165517213561314,0.00888502123234185,18.6287921247531,0,"LDN_grid$count_sports.scaled","model_9","A.rook_shared_edge"
"LDN_grid$count_CHs.scaled",-0.0125168709898047,0.00817553400407953,-1.53101570901165,0.125765510261752,"LDN_grid$count_CHs.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0782119559212688,0.013050785125009,5.9928927778753,2.06140771119578e-09,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",0.0276000708855545,0.0228608369505206,1.20730798024987,0.227313558506808,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0498383012041704,0.00800587688511114,-6.22521454168959,4.80897544008485e-10,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_9","A.rook_shared_edge"
