"","x"
"1",3
"2",0.269320165283262
"3",0.269320165283262
"4",0.235425220444621
"5",0.203366152361048
"6",0.241723272672545
"7",0.167635330767338
"8",0.197185243769881
"9",0.988705041179361
"10",0.290462141438564
"11",0
"12",0
"13",0
"14",0
"15",0.223360400181466
"16",0.232017808306405
"17",0.231291765371351
"18",1.06854494863195
"19",0
"20",0.351053778541607
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0.180023190812319
"35",0.686165703781603
"36",0.230096475165495
"37",0.118701918228858
"38",0.328966190339424
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0.035768189801832
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.0408615828710438
"54",0
"55",0
"56",0
"57",0
"58",0.234661380190102
"59",0.317580730204188
"60",0.52710514479327
"61",0
"62",0.0894010425090903
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0.0133161503666688
"69",0
"70",0.0133161503666688
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0.0289083929312788
"78",0
"79",0
"80",0
"81",0
"82",0.189949742242269
"83",0
"84",0
"85",0.448060542612761
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0.0130026582177315
"95",0.0133161503666688
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0.0310818998747452
"105",0
"106",0
"107",0
"108",0
"109",0.0721234509082957
"110",0.160665385325489
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0.0957373925602635
"119",0.0444160233954063
"120",0.014341668832047
"121",0.299585947036527
"122",0
"123",0.0133161503666688
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0.540011270804989
"131",0.0752680510949433
"132",0.0291993972860238
"133",0.0403622916285692
"134",0.182752200338415
"135",0
"136",0.553499744818308
"137",0
"138",0
"139",0.0611865213212933
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0.183529617979826
"147",0.0082768386098197
"148",0.305222558979122
"149",0
"150",0
"151",0.532190314155669
"152",0
"153",0.23598526708795
"154",0.0073559038562537
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0.197876357357523
"163",0
"164",0.090663990167949
"165",0.63723323963119
"166",0
"167",0.776037921371352
"168",0
"169",0.258882693012648
"170",0.225238758161394
"171",0
"172",0.5685364746463
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0.0845256944260064
"181",0.2414431437816
"182",0.202347039057622
"183",0
"184",0.877317338925827
"185",0
"186",0
"187",0.121220084678938
